id,start,availability,production,quality,c1,c2,c3,c4,c5
el10,0,100,87,100,0,0,0,0,0
el10,1,100,97,100,0,0,0,0,0
el10,2,100,81,100,0,0,0,0,0
el10,3,100,85,100,0,0,0,0,0
el10,4,100,81,100,0,0,0,0,0
el10,5,100,93,100,0,0,0,0,0
el10,6,100,88,100,0,0,0,0,0
el10,7,100,88,100,0,0,0,0,0
el10,8,100,93,100,0,0,0,0,0
el10,9,100,99,100,0,0,0,0,0
el10,10,100,95,91,0,0,0,0,0
el10,11,100,98,100,0,0,0,0,0
el10,12,100,91,100,0,0,0,0,0
el10,13,100,91,100,0,0,0,0,0
el10,14,100,89,100,0,0,0,0,0
el10,15,100,95,100,0,0,0,0,0
el10,16,100,84,99,0,0,0,0,0
el10,17,100,84,92,0,0,0,0,0
el10,18,100,90,100,0,0,0,0,0
el10,19,100,99,100,0,0,0,0,0
el10,20,100,87,100,0,0,0,0,0
el10,21,100,85,100,0,0,0,0,0
el10,22,100,84,100,0,0,0,0,0
el10,23,100,93,100,0,0,0,0,0
el10,24,100,96,100,0,0,0,0,0
el10,25,100,87,100,0,0,0,0,0
el10,26,100,85,93,0,0,0,0,0
el10,27,100,91,100,0,0,0,0,0
el10,28,100,93,100,0,0,0,0,0
el10,29,100,96,100,0,0,0,0,0
el10,30,100,94,92,0,0,0,0,0
el10,31,100,89,95,0,0,0,0,0
el10,32,100,94,100,0,0,0,0,0
el10,33,100,91,100,0,0,0,0,0
el10,34,100,91,100,0,0,0,0,0
el10,35,100,87,100,0,0,0,0,0
el10,36,100,95,100,0,0,0,0,0
el10,37,100,89,100,0,0,0,0,0
el10,38,100,89,100,0,0,0,0,0
el10,39,100,82,100,0,0,0,0,0
el10,40,100,100,100,0,0,0,0,0
el10,41,100,82,100,0,0,0,0,0
el10,42,100,92,100,0,0,0,0,0
el10,43,100,99,100,0,0,0,0,0
el10,44,100,98,93,0,0,0,0,0
el10,45,100,97,100,0,0,0,0,0
el10,46,100,80,90,0,0,0,0,0
el10,47,100,90,100,0,0,0,0,0
el10,48,100,84,94,0,0,0,0,0
el10,49,100,87,100,0,0,0,0,0
el10,50,100,86,100,0,0,0,0,0
el10,51,100,100,98,0,0,0,0,0
el10,52,100,81,100,0,0,0,0,0
el10,53,100,83,97,0,0,0,0,0
el10,54,0,0,0,0,0,0,0,1
el10,55,0,0,0,0,0,0,0,1
el10,56,0,0,0,0,0,0,0,1
el10,57,0,0,0,0,0,0,0,1
el10,58,0,0,0,0,0,0,0,1
el10,59,0,0,0,0,0,0,0,1
el10,60,0,0,0,0,0,0,0,1
el10,61,0,0,0,0,0,0,0,1
el10,62,0,0,0,0,0,0,0,1
el10,63,0,0,0,0,0,0,0,1
el10,64,0,0,0,0,0,0,0,1
el10,65,0,0,0,0,0,0,0,1
el10,66,0,0,0,0,0,0,0,1
el10,67,0,0,0,0,0,0,0,1
el10,68,0,0,0,0,0,0,0,1
el10,69,0,0,0,0,0,0,0,1
el10,70,0,0,0,0,0,0,0,1
el10,71,0,0,0,0,0,0,0,1
el10,72,0,0,0,0,0,0,0,1
el10,73,0,0,0,0,0,0,0,1
el10,74,0,0,0,0,0,0,0,1
el10,75,0,0,0,0,0,0,0,1
el10,76,0,0,0,0,0,0,0,1
el10,77,0,0,0,0,0,0,0,1
el10,78,100,81,96,0,0,0,0,0
el10,79,100,93,94,0,0,0,0,0
el10,80,100,81,100,0,0,0,0,0
el10,81,100,85,100,0,0,0,0,0
el10,82,100,97,100,0,0,0,0,0
el10,83,100,82,100,0,0,0,0,0
el10,84,100,84,100,0,0,0,0,0
el10,85,100,94,100,0,0,0,0,0
el10,86,100,90,100,0,0,0,0,0
el10,87,100,91,100,0,0,0,0,0
el10,88,100,86,100,0,0,0,0,0
el10,89,100,93,100,0,0,0,0,0
el10,90,100,100,100,0,0,0,0,0
el10,91,100,90,93,0,0,0,0,0
el10,92,100,93,100,0,0,0,0,0
el10,93,100,98,100,0,0,0,0,0
el10,94,100,82,90,0,0,0,0,0
el10,95,100,84,100,0,0,0,0,0
el10,96,100,92,100,0,0,0,0,0
el10,97,100,84,95,0,0,0,0,0
el10,98,100,93,100,0,0,0,0,0
el10,99,100,92,100,0,0,0,0,0
el10,100,100,82,99,0,0,0,0,0
el10,101,100,84,100,0,0,0,0,0
el10,102,100,97,100,0,0,0,0,0
el10,103,100,91,100,0,0,0,0,0
el10,104,100,80,100,0,0,0,0,0
el10,105,100,87,92,0,0,0,0,0
el10,106,100,85,100,0,0,0,0,0
el10,107,100,81,100,0,0,0,0,0
el10,108,100,91,91,0,0,0,0,0
el10,109,100,85,93,0,0,0,0,0
el10,110,100,97,100,0,0,0,0,0
el10,111,100,94,100,0,0,0,0,0
el10,112,100,80,100,0,0,0,0,0
el10,113,100,90,100,0,0,0,0,0
el10,114,100,96,100,0,0,0,0,0
el10,115,100,98,100,0,0,0,0,0
el10,116,100,84,100,0,0,0,0,0
el10,117,100,89,100,0,0,0,0,0
el10,118,100,90,97,0,0,0,0,0
el10,119,100,82,100,0,0,0,0,0
el10,120,100,83,100,0,0,0,0,0
el10,121,100,83,100,0,0,0,0,0
el10,122,100,85,95,0,0,0,0,0
el10,123,100,82,100,0,0,0,0,0
el10,124,100,94,100,0,0,0,0,0
el10,125,100,99,100,0,0,0,0,0
el10,126,100,100,100,0,0,0,0,0
el10,127,100,91,100,0,0,0,0,0
el10,128,100,97,93,0,0,0,0,0
el10,129,100,94,100,0,0,0,0,0
el10,130,100,89,100,0,0,0,0,0
el10,131,100,91,100,0,0,0,0,0
el10,132,100,96,100,0,0,0,0,0
el10,133,100,85,100,0,0,0,0,0
