id,start,availability,production,quality,c1,c2,c3,c4,c5
,0,100,90,99,0,0,0,0,0
,8,100,90,99,0,0,0,0,0
,16,100,90,99,0,0,0,0,0
,24,97,88,96,0,0,0,9,0
,32,91,82,90,0,3,0,23,0
,40,80,72,79,0,25,0,33,0
,48,70,64,69,0,32,2,52,0
,56,75,67,73,0,17,5,44,0
,64,84,76,83,0,11,0,23,0
,72,91,81,89,0,8,0,5,0
,80,92,82,89,0,0,12,3,0
,88,81,72,78,0,6,21,14,0
,96,78,69,72,0,10,7,34,0
,104,86,78,83,0,14,0,18,0
,112,87,79,85,0,14,10,4,0
,120,77,69,74,0,36,17,8,0
,128,91,81,86,0,11,4,5,0
,136,88,79,84,0,1,12,8,0
,144,71,63,68,0,35,25,15,0
,152,82,72,77,0,32,13,6,0
,160,88,78,83,0,20,8,0,0
,168,88,79,84,2,20,6,6,2
,176,84,75,82,0,15,7,26,0
,184,85,76,82,0,25,0,20,0
,192,85,77,83,0,37,0,8,0
,200,88,80,87,0,25,0,3,0
,208,91,83,90,0,15,0,4,0
,216,84,75,83,0,26,0,12,0
,224,88,79,86,0,17,5,12,0
,232,82,73,79,0,37,2,15,0
,240,91,81,88,0,17,0,11,0
,248,88,79,86,0,20,7,9,0
,256,87,77,85,0,18,12,6,0
,264,82,74,79,0,23,12,8,0
,272,82,73,78,0,32,0,5,0
,280,83,75,81,0,30,6,6,0
,288,82,73,79,0,15,15,15,0
,296,83,74,80,0,13,4,29,0
,304,91,81,87,0,6,11,11,0
,312,86,77,83,0,7,18,15,0
,320,92,82,88,0,0,15,8,0
,328,94,84,89,0,0,3,15,0
,336,86,78,84,4,6,9,22,4
,344,74,66,72,0,33,15,19,0
,352,77,68,74,0,6,8,32,0
,360,78,69,75,0,8,6,28,0
,368,82,73,79,0,16,14,6,0
,376,88,78,84,0,16,5,6,0
,384,96,86,93,0,1,4,8,0
,392,81,72,78,0,15,17,25,0
,400,84,74,79,0,12,14,22,0
,408,92,81,87,0,12,2,10,0
,416,88,79,85,0,15,0,20,0
,424,88,80,87,0,6,3,18,0
,432,80,72,78,0,18,8,18,0
,440,83,74,81,0,17,8,9,0
,448,78,70,76,0,23,12,21,0
,456,82,74,79,0,6,13,25,0
,464,81,73,78,0,39,0,14,0
,472,87,78,85,0,26,4,8,0
,480,86,77,84,0,12,15,10,0
,488,83,75,80,0,6,12,21,0
,496,79,70,75,0,7,13,27,0
,504,84,75,80,2,7,5,23,2
,512,84,75,82,0,16,14,18,0
,520,84,74,80,0,22,8,18,0
,528,89,79,86,0,15,0,19,0
,536,90,81,88,0,18,0,13,0
,544,83,75,82,0,19,0,30,0
,552,88,79,86,0,7,8,20,0
,560,89,79,85,0,3,18,13,0
,568,86,76,80,0,25,7,10,0
,576,88,78,83,0,26,5,6,0
,584,88,79,86,0,12,16,7,0
,592,80,71,76,0,23,10,18,0
,600,77,68,73,0,28,6,27,0
,608,84,75,81,0,9,8,23,0
,616,82,73,79,0,0,18,30,0
,624,80,71,76,0,7,19,32,0
,632,83,74,79,0,11,16,23,0
,640,79,70,74,0,39,4,20,0
,648,85,77,83,0,27,0,17,0
,656,88,79,87,0,11,0,24,0
,664,89,80,87,0,3,6,25,0
,672,93,83,90,4,10,0,8,4
,680,87,78,85,0,19,0,14,0
,688,87,78,86,0,8,0,22,0
,696,85,77,84,0,11,0,25,0
,704,83,75,82,0,11,0,30,0
,712,80,72,78,0,8,5,19,0
,720,81,73,80,0,13,7,11,0
,728,78,70,75,0,18,2,16,0
,736,66,59,64,0,16,9,45,0
,744,78,70,75,0,5,7,22,0
,752,86,77,83,0,21,6,4,0
,760,85,76,82,0,15,8,20,0
,768,87,78,84,0,16,0,22,0
,776,90,81,88,0,15,8,8,0
,784,88,79,87,0,9,7,13,0
,792,82,74,79,0,4,1,41,0
,800,77,70,75,0,15,11,42,0
,808,76,67,73,0,22,16,33,0
,816,86,77,82,0,10,1,19,0
,824,88,79,86,0,15,0,5,0
,832,89,80,87,0,15,1,0,0
,840,85,77,84,2,7,15,0,2
,848,81,72,78,0,17,16,5,0
,856,84,75,80,0,15,3,13,0
,864,83,74,80,0,7,2,26,0
,872,77,69,74,0,16,17,20,0
,880,83,74,80,0,20,9,20,0
,888,84,74,80,0,13,8,18,0
,896,88,79,85,0,11,8,2,0
,904,91,81,89,0,12,2,0,0
,912,89,80,88,0,10,0,14,0
,920,79,71,77,0,17,4,32,0
,928,74,66,72,0,39,8,28,0
,936,81,73,79,0,37,8,11,0
,944,88,78,85,0,26,1,9,0
,952,86,77,83,0,29,4,9,0
,960,86,78,84,0,29,3,8,0
,968,96,87,94,0,7,0,4,0
,976,92,83,91,0,7,0,16,0
,984,87,79,86,0,13,0,20,0
,992,74,67,73,0,36,0,24,0
,1000,80,72,79,0,25,0,19,0
,1008,75,67,73,4,9,9,36,4
,1016,81,72,77,0,9,14,23,0
,1024,90,79,85,0,18,3,10,0
,1032,89,80,86,0,11,12,9,0
,1040,89,79,86,0,19,11,3,0
,1048,90,80,85,0,13,0,10,0
,1056,81,73,79,0,19,6,23,0
,1064,68,61,66,0,23,8,53,0
,1072,76,67,72,0,13,11,31,0
,1080,82,74,79,0,3,15,21,0
,1088,84,75,81,0,14,8,13,0
,1096,85,77,83,0,12,0,23,0
,1104,82,73,81,0,13,0,34,0
,1112,93,84,91,0,7,0,15,0
,1120,93,83,91,0,6,0,15,0
,1128,86,77,84,0,7,0,20,0
,1136,74,66,71,0,9,14,32,0
,1144,68,60,64,0,17,16,40,0
,1152,77,69,73,0,12,7,38,0
,1160,90,81,89,0,7,8,9,0
,1168,89,79,86,0,16,1,9,0
,1176,90,81,88,2,9,3,9,2
,1184,91,81,88,0,9,15,4,0
,1192,89,80,84,0,22,11,0,0
,1200,82,74,79,0,28,10,9,0
,1208,75,67,73,0,41,3,19,0
,1216,68,61,66,0,46,4,28,0
,1224,75,68,73,0,22,9,26,0
,1232,83,74,80,0,14,7,19,0
,1240,92,81,88,0,6,0,11,0
,1248,92,83,91,0,10,0,12,0
,1256,85,76,83,0,12,1,32,0
,1264,77,70,76,0,13,8,35,0
,1272,84,75,82,0,19,4,11,0
,1280,83,74,80,0,30,0,13,0
